,epoch,val/loss,lr-AdamW/pg1,val/PSNR_ema,train/loss_simple_step,lr_abs,val/loss_simple,val/loss_vlb_ema,train/loss_vlb_epoch,train/PSNR_step,train/loss_step,_step,val/loss_ema,train/loss_vlb_step,trainer/global_step,val/loss_vlb,train/PSNR_epoch,global_step,val/PSNR,train/loss_simple_epoch,val/loss_simple_ema,lr-AdamW/pg2,_runtime,_timestamp,train/loss_epoch
0,0.0,0.05681455135345459,,16.59316635131836,,,0.05681455135345459,0.0009303764090873301,,,,3,0.05358566343784332,,3,0.0004531967861112207,,,16.180879592895508,,0.05358566343784332,,3730.6368305683136,1693170211.0158656,
1,0.0,0.05530323088169098,,16.13253402709961,,,0.05530323088169098,0.001084707910194993,,,,4,0.05712597072124481,,4,0.0004353663243819028,,,16.173133850097656,,0.05712597072124481,,3792.9674983024597,1693170273.3465333,
2,0.0,0.05627121031284332,,16.754865646362305,,,0.05627121031284332,0.0008452488691546023,,,,6,0.04908815771341324,,6,0.0011178071144968271,,,16.328229904174805,,0.04908815771341324,,3918.0503385066986,1693170398.4293735,
3,0.0,0.057370658963918686,,16.289033889770508,,,0.057370658963918686,0.0008557287510484457,,,,9,0.05768975988030434,,9,0.0005661572213284671,,,16.115766525268555,,0.05768975988030434,,4105.559935808182,1693170585.9389708,
4,0.0,0.051483288407325745,,16.645118713378906,,,0.051483288407325745,0.0006872285739518702,,,,19,0.054330166429281235,,19,0.0008024682174436748,,,16.857057571411133,,0.054330166429281235,,4729.181889772415,1693171209.5609248,
5,0.0,0.05479656532406807,,17.110185623168945,,,0.05479656532406807,0.0006723343976773322,,,,21,0.0501517653465271,,21,0.0008280609035864472,,,16.571800231933594,,0.0501517653465271,,4853.730051040649,1693171334.109086,
6,0.0,0.05256368964910507,,16.740074157714844,,,0.05256368964910507,0.0005601373268291354,,,,23,0.049276165664196014,,23,0.001265526982024312,,,16.58866310119629,,0.049276165664196014,,4978.182023048401,1693171458.561058,
7,0.0,0.04992244020104408,,16.779157638549805,,,0.04992244020104408,0.000835913117043674,,,,25,0.052935101091861725,,25,0.0008194977417588234,,,17.139324188232422,,0.052935101091861725,,5104.307651281357,1693171584.6866863,
8,0.0,0.05161368474364281,,16.984256744384766,,,0.05161368474364281,0.000976713839918375,,,,27,0.050727877765893936,,27,0.0009303176775574684,,,16.92630958557129,,0.050727877765893936,,5229.822735786438,1693171710.2017708,
9,0.0,0.05028800666332245,,16.61958885192871,,,0.05028800666332245,0.0008988695335574448,,,,31,0.052543044090270996,,31,0.0005409194272942841,,,17.016677856445312,,0.052543044090270996,,5480.569142103195,1693171960.948177,
10,0.0,0.046699486672878265,,17.077665328979492,,,0.046699486672878265,0.0009672761079855263,,,,32,0.05094394087791443,,32,0.0008352057775482535,,,17.351139068603516,,0.05094394087791443,,5544.658598423004,1693172025.0376334,
11,0.0,0.045992255210876465,,17.08165740966797,,,0.045992255210876465,0.0009349650936201215,,,,39,0.05055949091911316,,39,0.0008077982347458601,,,17.490758895874023,,0.05055949091911316,,5982.93604850769,1693172463.3150835,
12,0.0,0.04431465268135071,,17.092689514160156,,,0.04431465268135071,0.0007264088490046561,,,,40,0.0490071102976799,,40,0.000655483512673527,,,17.625303268432617,,0.0490071102976799,,6045.844427585602,1693172526.2234626,
13,0.0,0.047283947467803955,,17.066024780273438,,,0.047283947467803955,0.0005762074142694473,,,,42,0.0487249456346035,,42,0.0006175878224894404,,,17.270557403564453,,0.0487249456346035,,6171.239721059799,1693172651.618756,
14,0.0,0.048561807721853256,,17.55775260925293,,,0.048561807721853256,0.0003813867224380374,,,,48,0.043637409806251526,,48,0.0014799528289586306,,,17.473873138427734,,0.043637409806251526,,6546.721700668335,1693173027.1007357,
15,0.0,0.04593728482723236,,18.064550399780273,,,0.04593728482723236,0.0008658366277813911,,,,52,0.04266522079706192,,50,0.0008700823527760804,,,17.241113662719727,,0.04266522079706192,,6674.293231010437,1693173154.672266,
16,0.0,0.04486704245209694,,17.601179122924805,,,0.04486704245209694,0.0009401092538610101,,,,60,0.045576587319374084,,58,0.001105083036236465,,,17.749727249145508,,0.045576587319374084,,7174.174704790115,1693173654.5537398,
17,0.0,0.046923015266656876,,17.45807647705078,,,0.046923015266656876,0.001088242162950337,,,,65,0.045972008258104324,,63,0.0007668114267289639,,,17.30272674560547,,0.045972008258104324,,7485.551468849182,1693173965.9305038,
18,0.0,0.04587911441922188,,17.403413772583008,,,0.04587911441922188,0.0008832584135234356,,,,67,0.04832172393798828,,65,0.0006738657248206437,,,17.295516967773438,,0.04832172393798828,,7610.7785131931305,1693174091.1575482,
19,0.0,0.04122672975063324,,17.26509666442871,,,0.04122672975063324,0.0010796735296025872,,,,68,0.047010987997055054,,66,0.0005502031417563558,,,17.93980598449707,,0.047010987997055054,,7673.300879955292,1693174153.679915,
20,0.0,0.04415200650691986,,17.741674423217773,,,0.04415200650691986,0.0008241720497608185,,,,71,0.04573922976851463,,69,0.0008280379115603864,,,17.478288650512695,,0.04573922976851463,,7860.194072008133,1693174340.573107,
21,0.0,0.04836799576878548,,17.680017471313477,,,0.04836799576878548,0.0009676647605374455,,,,74,0.04370559751987457,,72,0.0010517879854887724,,,17.25547981262207,,0.04370559751987457,,8047.861826181412,1693174528.2408612,
22,0.0,0.04599287733435631,,17.558298110961914,,,0.04599287733435631,0.0004193560453131795,,,,75,0.04579639434814453,,73,0.0005736593157052994,,,17.346179962158203,,0.04579639434814453,,8110.064733505249,1693174590.4437685,
23,0.0,0.04242227226495743,,17.488168716430664,,,0.04242227226495743,0.0005518626421689987,,,,78,0.04504486173391342,,76,0.0004057358601130545,,,17.579662322998047,,0.04504486173391342,,8297.283736467361,1693174777.6627715,
24,0.0,0.04651809483766556,,17.772354125976562,,,0.04651809483766556,0.0013735151151195168,,,,82,0.04568374529480934,,80,0.0005074507789686322,,,17.391319274902344,,0.04568374529480934,,8546.433120250702,1693175026.8121552,
25,0.0,0.04580168426036835,,17.75368881225586,,,0.04580168426036835,0.000638876052107662,,,,84,0.04320157319307327,,82,0.0009288535220548511,,,17.575838088989258,,0.04320157319307327,,8670.866868972778,1693175151.245904,
26,0.0,0.047738976776599884,,17.72953224182129,,,0.047738976776599884,0.000583915039896965,,,,85,0.04523659124970436,,83,0.001434317440725863,,,17.479766845703125,,0.04523659124970436,,8733.045912504196,1693175213.4249475,
27,0.0,0.04260406643152237,,17.506954193115234,,,0.04260406643152237,0.0007616407820023596,,,,86,0.04533781856298447,,84,0.0006834444939158857,,,17.84556770324707,,0.04533781856298447,,8795.257490634918,1693175275.6365256,
28,0.0,0.04412693530321121,,17.738847732543945,,,0.04412693530321121,0.0008937114616855979,,,,92,0.04454069584608078,,90,0.000887605594471097,,,17.992488861083984,,0.04454069584608078,,9170.03951048851,1693175650.4185455,
29,0.0,0.04554607346653938,,17.70819854736328,,,0.04554607346653938,0.0007714600651524961,,,,93,0.04396063834428787,,91,0.0006148323300294578,,,17.642906188964844,,0.04396063834428787,,9232.254226922989,1693175712.633262,
30,0.0,0.04259664565324783,,17.260147094726562,,,0.04259664565324783,0.0007816976867616177,,,,99,0.047956012189388275,,97,0.0006869535427540541,,,17.90413475036621,,0.047956012189388275,,9606.751429796219,1693176087.1304648,
31,,,9.9000001e-07,,,,,,,,,101,,,99,,,,,,,9.9000001e-06,9670.686128616333,1693176151.0651636,
32,0.0,0.044898565858602524,,17.60662269592285,,,0.044898565858602524,0.0003533724811859429,,,,109,0.042226146906614304,,105,0.001120534841902554,,,17.743671417236328,,0.042226146906614304,,10106.50382232666,1693176586.8828573,
33,0.0,0.04857564717531204,,18.160947799682617,,,0.04857564717531204,0.0006734969210810959,,,,113,0.0409533716738224,,109,0.0008692032424733043,,,17.28668212890625,,0.0409533716738224,,10356.250324726105,1693176836.6293597,
34,0.0,0.044598039239645004,,18.06304359436035,,,0.044598039239645004,0.0005443433183245361,,,,120,0.04201774299144745,,116,0.0005393924075178802,,,17.88548469543457,,0.04201774299144745,,10792.692242383957,1693177273.0712774,
35,0.0,0.04297485947608948,,17.643274307250977,,,0.04297485947608948,0.0009335509967058897,,,,122,0.045926567167043686,,118,0.000916485209017992,,,18.02957534790039,,0.045926567167043686,,10917.159343004227,1693177397.538378,
36,0.0,0.04627956077456474,,18.028079986572266,,,0.04627956077456474,0.0013864717911928892,,,,124,0.04399241507053375,,120,0.001047776429913938,,,17.85421371459961,,0.04399241507053375,,11041.614640712738,1693177521.9936757,
37,0.0,0.04646017402410507,,17.230239868164062,,,0.04646017402410507,0.0007285301689989865,,,,126,0.049382343888282776,,122,0.0011372895678505301,,,17.86802864074707,,0.049382343888282776,,11166.178525924683,1693177646.557561,
38,0.0,0.04638678953051567,,17.653987884521484,,,0.04638678953051567,0.0004425793304108083,,,,128,0.04510032758116722,,124,0.0006737322546541691,,,17.57440757751465,,0.04510032758116722,,11291.781639814377,1693177772.1606748,
39,0.0,0.04815511032938957,,17.768579483032227,,,0.04815511032938957,0.0008959238766692579,,,,133,0.044761382043361664,,129,0.0015629049157723784,,,17.735139846801758,,0.044761382043361664,,11608.785242795944,1693178089.1642778,
40,0.0,0.04224087670445442,,18.00358772277832,,,0.04224087670445442,0.0008682594634592533,,,,136,0.043512605130672455,,132,0.0005855197086930275,,,17.918289184570312,,0.043512605130672455,,11800.851360321045,1693178281.2303953,
41,0.0,0.04541958123445511,,17.349472045898438,,,0.04541958123445511,0.0012789565371349454,,,,144,0.048843808472156525,,140,0.0009354729554615915,,,17.93438148498535,,0.048843808472156525,,12313.370926618576,1693178793.7499616,
42,0.0,0.04540903493762016,,17.99742317199707,,,0.04540903493762016,0.001422784524038434,,,,152,0.046303145587444305,,148,0.0011650918750092387,,,17.866455078125,,0.046303145587444305,,12846.841638803482,1693179327.2206738,
43,0.0,0.04330656677484512,,17.87868309020996,,,0.04330656677484512,0.0006637166952714324,,,,162,0.044274840503931046,,156,0.0010380009189248085,,,18.0967960357666,,0.044274840503931046,,13356.945947647095,1693179837.3249826,
44,0.0,0.04474577680230141,,17.666385650634766,,,0.04474577680230141,0.0007671276107430458,,,,163,0.04626841098070145,,157,0.0009292922914028168,,,17.731657028198242,,0.04626841098070145,,13419.823017120361,1693179900.202052,
45,0.0,0.04363055154681206,,18.183998107910156,,,0.04363055154681206,0.00046610675053671,,,,165,0.04041747748851776,,159,0.0003968852397520095,,,17.92842674255371,,0.04041747748851776,,13548.871876001358,1693180029.250911,
46,0.0,0.04385557398200035,,17.834026336669922,,,0.04385557398200035,0.0006519215530715883,,,,169,0.04295757785439491,,163,0.0008008107542991638,,,18.031591415405273,,0.04295757785439491,,13821.86208486557,1693180302.2411199,
47,0.0,0.04239947721362114,,17.750951766967773,,,0.04239947721362114,0.0006296850042417645,,,,175,0.043861471116542816,,169,0.0008629853837192059,,,18.042497634887695,,0.043861471116542816,,14209.26940369606,1693180689.6484387,
48,0.0,0.04313002526760101,,17.790403366088867,,,0.04313002526760101,0.000506171549204737,,,,176,0.043893229216337204,,170,0.0004558018990792334,,,17.958589553833008,,0.043893229216337204,,14273.108139038086,1693180753.487174,
49,0.0,0.04309255629777908,,18.213815689086914,,,0.04309255629777908,0.0004500181239563972,,,,178,0.041190702468156815,,172,0.0007244540029205382,,,18.158586502075195,,0.041190702468156815,,14401.227442026138,1693180881.606477,
50,0.0,,,,,,,,0.0007686575991101563,,,180,,,173,,17.144105911254883,,,0.04886612668633461,,,14469.878654003143,1693180950.257689,0.04886612668633461
51,1.0,0.04719606414437294,,17.88806915283203,,,0.04719606414437294,0.000871140684466809,,,,182,0.04393893480300903,,175,0.0013776763807982206,,,17.596881866455078,,0.04393893480300903,,14601.162311077118,1693181081.541346,
